     Adressen         :       Inhalt
[ i][ j]   Dez  (Hex) :      Dez  (Hex)
[ 7][ 8]   120   (78) :    -8283  (DFA5)
[ 7][ 9]   121   (79) :     9232  (2410)
[ 7][10]   122   (7A) :     2655  (0A5F)
[ 7][11]   123   (7B) :     4913  (1331)
[ 7][12]   124   (7C) :    -1563  (F9E5)
[ 7][13]   125   (7D) :    -5059  (EC3D)
[ 7][14]   126   (7E) :     7037  (1B7D)
[ 7][15]   127   (7F) :     7502  (1D4E)
[ 8][ 0]   128   (80) :    -4002  (F05E)
[ 8][ 1]   129   (81) :    -7691  (E1F5)
[ 8][ 2]   130   (82) :   -18289  (B88F)
[ 8][ 3]   131   (83) :     1290  (050A)
[ 8][ 4]   132   (84) :    -3846  (F0FA)
[ 8][ 5]   133   (85) :   -14745  (C667)
[ 8][ 6]   134   (86) :   -10101  (D88B)
[ 8][ 7]   135   (87) :     -548  (FDDC)
[ 8][ 8]   136   (88) :     2028  (07EC)
[ 8][ 9]   137   (89) :    -7310  (E372)
[ 8][10]   138   (8A) :     2931  (0B73)
[ 8][11]   139   (8B) :      987  (03DB)
[ 8][12]   140   (8C) :    -3348  (F2EC)
[ 8][13]   141   (8D) :    14908  (3A3C)
[ 8][14]   142   (8E) :   -19191  (B509)
[ 8][15]   143   (8F) :     4367  (110F)
[ 9][ 0]   144   (90) :    28152  (6DF8)
[ 9][ 1]   145   (91) :     6274  (1882)
[ 9][ 2]   146   (92) :    10420  (28B4)
[ 9][ 3]   147   (93) :     7549  (1D7D)
[ 9][ 4]   148   (94) :     3653  (0E45)
[ 9][ 5]   149   (95) :    -8526  (DEB2)
[ 9][ 6]   150   (96) :    11534  (2D0E)
[ 9][ 7]   151   (97) :    -4355  (EEFD)
[ 9][ 8]   152   (98) :     7138  (1BE2)
[ 9][ 9]   153   (99) :    26857  (68E9)
[ 9][10]   154   (9A) :    13853  (361D)
[ 9][11]   155   (9B) :     3688  (0E68)
[ 9][12]   156   (9C) :     2391  (0957)
[ 9][13]   157   (9D) :     4713  (1269)
[ 9][14]   158   (9E) :   -10803  (D5CD)
[ 9][15]   159   (9F) :    -7298  (E37E)
[10][ 0]   160   (A0) :    12756  (31D4)
[10][ 1]   161   (A1) :    -6601  (E637)
[10][ 2]   162   (A2) :     6016  (1780)
[10][ 3]   163   (A3) :     4235  (108B)
[10][ 4]   164   (A4) :    25569  (63E1)
[10][ 5]   165   (A5) :     6067  (17B3)
[10][ 6]   166   (A6) :    11045  (2B25)
[10][ 7]   167   (A7) :    -5243  (EB85)
[10][ 8]   168   (A8) :   -14526  (C742)
[10][ 9]   169   (A9) :    24146  (5E52)
[10][10]   170   (AA) :    -4169  (EFB7)
[10][11]   171   (AB) :   -16283  (C065)
[10][12]   172   (AC) :     -981  (FC2B)
[10][13]   173   (AD) :   -22562  (A7DE)
[10][14]   174   (AE) :     9236  (2414)
[10][15]   175   (AF) :    -7283  (E38D)
[11][ 0]   176   (B0) :     3048  (0BE8)
[11][ 1]   177   (B1) :    -7193  (E3E7)
[11][ 2]   178   (B2) :    -6790  (E57A)
[11][ 3]   179   (B3) :    -5009  (EC6F)
[11][ 4]   180   (B4) :    -5157  (EBDB)
[11][ 5]   181   (B5) :   -12031  (D101)
[11][ 6]   182   (B6) :    11397  (2C85)
[11][ 7]   183   (B7) :      630  (0276)
[11][ 8]   184   (B8) :   -16593  (BF2F)
[11][ 9]   185   (B9) :     2576  (0A10)
[11][10]   186   (BA) :     2758  (0AC6)
[11][11]   187   (BB) :    -7689  (E1F7)
[11][12]   188   (BC) :   -10607  (D691)
[11][13]   189   (BD) :     -466  (FE2E)
[11][14]   190   (BE) :    -4772  (ED5C)
[11][15]   191   (BF) :    16521  (4089)
[12][ 0]   192   (C0) :      865  (0361)
[12][ 1]   193   (C1) :     -486  (FE1A)
[12][ 2]   194   (C2) :    -1009  (FC0F)
[12][ 3]   195   (C3) :    14044  (36DC)
[12][ 4]   196   (C4) :    -5637  (E9FB)
[12][ 5]   197   (C5) :   -23860  (A2CC)
[12][ 6]   198   (C6) :     1036  (040C)
[12][ 7]   199   (C7) :    13109  (3335)
[12][ 8]   200   (C8) :     6135  (17F7)
[12][ 9]   201   (C9) :   -11581  (D2C3)
[12][10]   202   (CA) :     4275  (10B3)
[12][11]   203   (CB) :     2608  (0A30)
[12][12]   204   (CC) :    -9429  (DB2B)
[12][13]   205   (CD) :    -3206  (F37A)
[12][14]   206   (CE) :    -5534  (EA62)
[12][15]   207   (CF) :   -13403  (CBA5)
[13][ 0]   208   (D0) :     1662  (067E)
[13][ 1]   209   (D1) :   -19910  (B23A)
[13][ 2]   210   (D2) :    -3723  (F175)
[13][ 3]   211   (D3) :     6773  (1A75)
[13][ 4]   212   (D4) :    -3018  (F436)
[13][ 5]   213   (D5) :   -19200  (B500)
[13][ 6]   214   (D6) :    12794  (31FA)
[13][ 7]   215   (D7) :      943  (03AF)
[13][ 8]   216   (D8) :     3824  (0EF0)
[13][ 9]   217   (D9) :   -23871  (A2C1)
[13][10]   218   (DA) :   -20002  (B1DE)
[13][11]   219   (DB) :     3463  (0D87)
[13][12]   220   (DC) :     8825  (2279)
[13][13]   221   (DD) :     5336  (14D8)
[13][14]   222   (DE) :   -11727  (D231)
[13][15]   223   (DF) :     3761  (0EB1)
[14][ 0]   224   (E0) :     2517  (09D5)
[14][ 1]   225   (E1) :    -7187  (E3ED)
[14][ 2]   226   (E2) :     2005  (07D5)
[14][ 3]   227   (E3) :     8521  (2149)
[14][ 4]   228   (E4) :    -8251  (DFC5)
[14][ 5]   229   (E5) :    -4115  (EFED)
[14][ 6]   230   (E6) :    11999  (2EDF)
[14][ 7]   231   (E7) :     6274  (1882)
[14][ 8]   232   (E8) :   -12557  (CEF3)
[14][ 9]   233   (E9) :    15353  (3BF9)
[14][10]   234   (EA) :    -5811  (E94D)
[14][11]   235   (EB) :     1379  (0563)
[14][12]   236   (EC) :     -575  (FDC1)
[14][13]   237   (ED) :   -22051  (A9DD)
[14][14]   238   (EE) :    10892  (2A8C)
[14][15]   239   (EF) :    -8045  (E093)
[15][ 0]   240   (F0) :   -10026  (D8D6)
[15][ 1]   241   (F1) :   -24657  (9FAF)
[15][ 2]   242   (F2) :   -17768  (BA98)
[15][ 3]   243   (F3) :    -2150  (F79A)
[15][ 4]   244   (F4) :      791  (0317)
[15][ 5]   245   (F5) :    11227  (2BDB)
[15][ 6]   246   (F6) :     6548  (1994)
[15][ 7]   247   (F7) :   -10579  (D6AD)
[15][ 8]   248   (F8) :   -23820  (A2F4)
[15][ 9]   249   (F9) :    10658  (29A2)
[15][10]   250   (FA) :   -13079  (CCE9)
[15][11]   251   (FB) :     6763  (1A6B)
[15][12]   252   (FC) :    -9981  (D903)
[15][13]   253   (FD) :     6949  (1B25)
[15][14]   254   (FE) :     1465  (05B9)
[15][15]   255   (FF) :    20346  (4F7A)
